Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	Sp7498_pacbio.protein
OG0000015	wa7733.asm1v1.ann1.run1_003916_1	g10711.t1
OG0000016	wa7733.asm1v1.ann1.run1_003240_1	g13896.t1
OG0000016	wa7733.asm1v1.ann1.run1_006345_1	g13897.t1, g13901.t1
OG0000016	wa7733.asm1v1.ann1.run1_003953_1, wa7733.asm1v1.ann1.run1_003954_1, wa7733.asm1v1.ann1.run1_003233_1, wa7733.asm1v1.ann1.run1_003214_1	g13888.t1, g13889.t1, g13891.t1, g13893.t1, g13890.t1, g13892.t1, g5107.t1
OG0000017	wa7733.asm1v1.ann1.run1_011147_1	g35.t1
OG0000017	wa7733.asm1v1.ann1.run1_013625_1	g12797.t1
OG0000017	wa7733.asm1v1.ann1.run1_004812_1	g12011.t1
OG0000017	wa7733.asm1v1.ann1.run1_000738_1	g14936.t1
OG0000017	wa7733.asm1v1.ann1.run1_006758_1, wa7733.asm1v1.ann1.run1_006758_2	g16174.t1
OG0000018	wa7733.asm1v1.ann1.run1_000487_1	g12330.t1
OG0000018	wa7733.asm1v1.ann1.run1_006318_1, wa7733.asm1v1.ann1.run1_012462_1	g5879.t1
OG0000018	wa7733.asm1v1.ann1.run1_009537_1	g3549.t1
OG0000018	wa7733.asm1v1.ann1.run1_006865_1	g7858.t1, g5671.t1
OG0000019	wa7733.asm1v1.ann1.run1_000259_1	g15688.t1, g15687.t1
OG0000019	wa7733.asm1v1.ann1.run1_006153_1	g18521.t1, g2025.t1, g11926.t1, g15739.t1, g15737.t1, g15621.t1, g15717.t1, g15745.t1, g15743.t1, g15738.t1, g11930.t1, g15740.t1, g11924.t1, g11928.t1, g8902.t1
OG0000019	wa7733.asm1v1.ann1.run1_000360_1	g15703.t1
OG0000020	wa7733.asm1v1.ann1.run1_011448_1	g14665.t1
OG0000020	wa7733.asm1v1.ann1.run1_001003_1	g17948.t1, g17950.t1
