Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp9509_oxford_v3.proteins
OG0000006	Wa8730a001g004420_P001, Wa8730a010g001680_P001	Sp05g00276
OG0000006	Wa8730a003g004290_P001	Sp03g00698
OG0000006	Wa8730a001g007000_P001	Sp06g01181, Sp01g01480
OG0000007	Wa8730a003g002300_P001	Sp03g00438
OG0000007	Wa8730a002g004580_P001	Sp02g00793
OG0000007	Wa8730a016g004710_P001	Sp18g00036
OG0000007	Wa8730a016g004250_P001	Sp18g00099
OG0000007	Wa8730a014g004920_P001	Sp20g00319, Sp09g00440
OG0000008	Wa8730a016g001020_P001	Sp18g00577
OG0000008	Wa8730a019g003480_P001	Sp06g00597
OG0000008	Wa8730a008g004930_P001	Sp17g00232
OG0000009	Wa8730a014g000140_P001	Sp09g01156
OG0000010	Wa8730a002g009950_P001	Sp02g00096
OG0000010	Wa8730a002g009930_P001	Sp02g00097
OG0000010	Wa8730a004g003200_P001, Wa8730a010g000520_P001	Sp05g00075
OG0000011	Wa8730a005g002480_P001, Wa8730a005g002500_P001, Wa8730a005g002490_P001, Wa8730a005g002420_P001, Wa8730a005g001800_P001, Wa8730a005g001780_P001, Wa8730a005g001790_P001, Wa8730a005g001350_P001, Wa8730a004g006720_P001, Wa8730a004g000730_P001	Sp06g00236, Sp01g01354, Sp06g00235, Sp19g00328, Sp19g00327
OG0000013	Wa8730a003g004220_P001	Sp03g00687
OG0000013	Wa8730a014g001550_P001	Sp09g00953
OG0000013	Wa8730a007g007700_P001	Sp04g00198
OG0000013	Wa8730a001g010290_P001	Sp11g00553, Sp15g00460
OG0000013	Wa8730a005g000290_P001	Sp19g00027, Sp08g01271
OG0000014	Wa8730a005g003480_P001	Sp08g00765, Sp08g00773
OG0000014	Wa8730a005g003470_P001, Wa8730a005g004920_P001, Wa8730a005g003460_P001, Wa8730a005g003450_P001, Wa8730a005g003440_P001, Wa8730a005g003430_P001, Wa8730a005g002580_P001, Wa8730a005g003410_P001, Wa8730a011g003070_P001, Wa8730a011g003080_P001	Sp11g00084, Sp05g00265, Sp08g00772, Sp08g00768, Sp08g00770, Sp08g00766
OG0000015	Wa8730a005g001460_P001	Sp09g00105, Sp02g00223, Sp14g00154, Sp19g00098, Sp08g01090
OG0000016	Wa8730a015g003320_P001	Sp12g00466
OG0000016	Wa8730a015g002750_P001	Sp12g00468
OG0000016	Wa8730a016g000410_P001, Wa8730a015g003530_P001	Sp12g00458, Sp12g00459, Sp12g00461, Sp12g00463, Sp12g00460, Sp12g00462, Sp10g00234
OG0000017	Wa8730a004g004710_P001	Sp13g00972
OG0000017	Wa8730a008g005230_P001	Sp17g00350
OG0000017	Wa8730a002g002020_P001	Sp14g00544, Sp02g00987
OG0000017	Wa8730a016g003730_P001	Sp18g00205
OG0000017	Wa8730a003g006950_P002, Wa8730a003g006950_P001	Sp03g01205
OG0000018	Wa8730a013g004500_P001	Sp14g00210
OG0000018	Wa8730a009g000220_P001, Wa8730a019g000160_P001	Sp10g01082
OG0000018	Wa8730a001g012150_P001	Sp01g01764
OG0000018	Wa8730a019g002000_P001	Sp06g00336, Sp10g00845
OG0000020	Wa8730a016g001730_P001	Sp18g00485
OG0000020	Wa8730a017g003640_P001	Sp20g00050
OG0000020	Wa8730a002g005420_P001	Sp02g00688, Sp02g00690
OG0000021	Wa8730a011g005590_P001, Wa8730a002g009900_P001, Wa8730a011g004700_P001, Wa8730a013g005130_P001, Wa8730a013g005120_P001, Wa8730a013g005140_P001, Wa8730a013g005150_P001, Wa8730a013g005100_P001, Wa8730a018g002300_P001, Wa8730a011g004730_P001, Wa8730a011g004580_P001	Sp11g00864
OG0000022	Wa8730a00Ug000200_P001, Wa8730a00Ug000170_P001, Wa8730a00Ug000190_P001, Wa8730a00Ug000210_P001, Wa8730a00Ug000180_P001, Wa8730a00Ug000100_P001, Wa8730a019g003320_P001, Wa8730a00Ug000030_P001, Wa8730a00Ug000140_P001, Wa8730a00Ug000070_P001, Wa8730a00Ug000120_P001, Wa8730a019g003310_P001	Sp04g00191
OG0000023	Wa8730a010g002390_P001	Sp05g00332
OG0000023	Wa8730a006g004110_P001	Sp16g00193
OG0000023	Wa8730a020g002310_P001	Sp10g00184
OG0000023	Wa8730a009g000330_P001	Sp10g01073
OG0000023	Wa8730a010g002500_P001	Sp05g00411
OG0000023	Wa8730a004g001670_P001	Sp19g00255, Sp08g00589, Sp13g00459
OG0000024	Wa8730a004g005400_P001, Wa8730a004g005370_P001	Sp19g00501
OG0000024	Wa8730a005g006420_P001, Wa8730a005g006410_P001, Wa8730a005g006400_P001, Wa8730a005g006390_P001, Wa8730a005g006450_P001, Wa8730a005g006440_P001, Wa8730a004g000370_P001, Wa8730a005g008650_P001, Wa8730a005g008660_P001	Sp08g00009
