Orthogroup	wa8730.asm201904v2.ann1.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func
OG0000002	Wa8730a016g004780_P001	wa7733.asm1v1.ann1.run1_000848_1
OG0000002	Wa8730a016g004770_P001	wa7733.asm1v1.ann1.run1_000847_1
OG0000002	Wa8730a001g000880_P001	wa7733.asm1v1.ann1.run1_002171_1
OG0000002	Wa8730a007g004070_P001	wa7733.asm1v1.ann1.run1_013555_1
OG0000002	Wa8730a016g003300_P001, Wa8730a016g003270_P001, Wa8730a016g003260_P001	wa7733.asm1v1.ann1.run1_007551_1, wa7733.asm1v1.ann1.run1_007552_1, wa7733.asm1v1.ann1.run1_007554_1
OG0000002	Wa8730a016g003310_P001, Wa8730a016g003280_P001, Wa8730a016g003250_P001	wa7733.asm1v1.ann1.run1_007553_1, wa7733.asm1v1.ann1.run1_007555_1, wa7733.asm1v1.ann1.run1_007550_1
OG0000002	Wa8730a002g003060_P001	wa7733.asm1v1.ann1.run1_001505_1, wa7733.asm1v1.ann1.run1_001505_2
OG0000002	Wa8730a005g005290_P001, Wa8730a010g002100_P001	wa7733.asm1v1.ann1.run1_007283_1
OG0000002	Wa8730a012g003490_P001	wa7733.asm1v1.ann1.run1_000176_1
OG0000002	Wa8730a012g003470_P001	wa7733.asm1v1.ann1.run1_000178_1
OG0000002	Wa8730a012g003440_P001	wa7733.asm1v1.ann1.run1_000180_1
OG0000002	Wa8730a003g007330_P001	wa7733.asm1v1.ann1.run1_007618_1
OG0000002	Wa8730a016g004810_P001	wa7733.asm1v1.ann1.run1_000851_1
OG0000002	Wa8730a003g007260_P001	wa7733.asm1v1.ann1.run1_007624_1
OG0000003	Wa8730a005g002910_P001	wa7733.asm1v1.ann1.run1_002689_1
OG0000003	Wa8730a015g003250_P001	wa7733.asm1v1.ann1.run1_003247_1
OG0000003	Wa8730a015g003240_P001	wa7733.asm1v1.ann1.run1_003248_1, wa7733.asm1v1.ann1.run1_003180_1
OG0000003	Wa8730a010g000110_P001	wa7733.asm1v1.ann1.run1_011127_1
OG0000003	Wa8730a010g000100_P001	wa7733.asm1v1.ann1.run1_011128_1
OG0000003	Wa8730a004g008520_P001	wa7733.asm1v1.ann1.run1_003176_1
OG0000003	Wa8730a005g000790_P001	wa7733.asm1v1.ann1.run1_002797_1
OG0000003	Wa8730a001g007900_P002, Wa8730a001g007900_P001	wa7733.asm1v1.ann1.run1_007861_1
OG0000003	Wa8730a002g000640_P001	wa7733.asm1v1.ann1.run1_011775_1
OG0000003	Wa8730a002g000620_P001	wa7733.asm1v1.ann1.run1_011777_1
OG0000003	Wa8730a020g000100_P001, Wa8730a020g000110_P001	wa7733.asm1v1.ann1.run1_007752_1
OG0000004	Wa8730a016g000380_P001	wa7733.asm1v1.ann1.run1_003949_1
OG0000004	Wa8730a006g004710_P001	wa7733.asm1v1.ann1.run1_008349_1, wa7733.asm1v1.ann1.run1_009010_1
OG0000004	Wa8730a014g001670_P001	wa7733.asm1v1.ann1.run1_000935_1
OG0000004	Wa8730a014g001630_P001	wa7733.asm1v1.ann1.run1_015076_1
